,Company_Name,Company_Type,HeadQuater,Company_Age,Total_employee,reviews,ratings
2028,All India Radio,Private,"Delhi/NCR,New Delhi + 66 more",92 years old,1k-5k Employees (India),(225 Reviews),4.1
2029,DesignTech Syste...,Private,Pune + 26 more,24 years old,501-1k Employees (India),(225 Reviews),3.2
2030,Osource India,Private,"Noida,Uttar Pradesh + 18 more",18 years old,201-500 Employees (India),(225 Reviews),3.3
2031,Dharampal Premch...,Private,"Delhi/NCR,New Delhi + 38 more",93 years old,201-500 Employees (India),(224 Reviews),4
2032,GMR Hyderabad In...,Private,"Delhi/NCR,Delhi + 10 more",22 years old,201-500 Employees (India),(224 Reviews),4
2033,Aimil Pharmaceut...,Private,"Delhi/NCR,New Delhi + 30 more",90 years old,501-1k Employees (India),(224 Reviews),3.6
2034,Satya MicroCapit...,"Delhi,NCT + 69 more",6 years old,1k-5k Employees (India),,(224 Reviews),4
2035,ITI,Private,"Bangalore/Bengaluru,Karnataka + 50 more",74 years old,501-1k Employees (India),(224 Reviews),3.7
2036,Merck,Private,"Darmstadt,Darmstadt + 33 more",131 years old,1k-5k Employees (India),(466 Reviews),4
2037,RealPage,Private,"Richardson,Texas + 4 more",24 years old,1k-5k Employees (India),(224 Reviews),4
2038,Super Smelters,"Kolkata,West Bengal + 11 more",27 years old,1k-5k Employees (India),,(223 Reviews),4.1
2039,Cera Sanitarywar...,Public,"London,England + 42 more",42 years old,501-1k Employees (India),(223 Reviews),4.1
2040,Spinny,Private,"Gurgaon,Haryana + 18 more",7 years old,1k-5k Employees (India),(223 Reviews),4.3
2041,Metalman Auto,Private,"Gurgaon/Gurugram,Haryana + 16 more",36 years old,1k-5k Employees (India),(223 Reviews),4.1
2042,Sotc Travel Serv...,Private,Mumbai + 32 more,73 years old,1k-5k Employees (India),(223 Reviews),3.9
2043,Seoyon E-hwa Aut...,Seoul + 12 more,50 years old,51-200 Employees (India),,(223 Reviews),3.9
2044,NR Switch N Radi...,Private,"Kota,Rajasthan + 42 more",24 years old,501-1k Employees (India),(223 Reviews),3.9
2045,BCD Travel,Private,"Utrecht,Utrecht + 11 more",16 years old,501-1k Employees (India),(223 Reviews),4
2046,Maharashtra Seam...,"Gurgaon/Gurugram,Haryana + 12 more",34 years old,1k-5k Employees (India),,(223 Reviews),3.6
2047,Rosmerta Technol...,Private,Gurgaon + 46 more,16 years old,1k-5k Employees (India),(223 Reviews),3
2048,Herbalife Intern...,Private,Los Angeles + 54 more,42 years old,1k-5k Employees (India),(223 Reviews),4.4
2049,Prem Henna,Private,Indore + 50 more,92 years old,201-500 Employees (India),(222 Reviews),3.7
2050,National Petrole...,Abu Dhabi + 17 more,49 years old,501-1k Employees (India),,(222 Reviews),4.3
2051,Pratibha Industr...,Public,"Mumbai,Maharashtra + 20 more",40 years old,501-1k Employees (India),(222 Reviews),4.2
2052,SunTec Web Servi...,Private,New Delhi + 3 more,23 years old,1k-5k Employees (India),(222 Reviews),3.3
2053,Ceinsys Tech,Public,"Nagpur,Maharashtra + 29 more",24 years old,501-1k Employees (India),(222 Reviews),3.8
2054,Corteva Agriscie...,Public,"Wilmington,Delaware + 44 more",3 years old,1k-5k Employees (India),(222 Reviews),4.3
2055,FMC,Private,Philadelphia + 53 more,13 years old,501-1k Employees (India),(222 Reviews),4.1
2056,PTC,Public,"Boston,Massachusetts + 21 more",37 years old,51-200 Employees (India),(222 Reviews),4.1
2057,ACL Digital,Private,"Santa Clara,California + 11 more",30 years old,501-1k Employees (India),(222 Reviews),3.7
2058,Trigent Software,Private,"Southborough,Massachusetts + 18 more",27 years old,501-1k Employees (India),(222 Reviews),3.7
2059,India Post,Public,"Mysore/Mysuru,Karnataka + 90 more",168 years old,1 Lakh+ Employees (Global),(264 Reviews),4
2060,Galaxy Surfactan...,Public,Mumbai + 8 more,42 years old,1k-5k Employees (India),(221 Reviews),3
2061,Alpla,Private,"Hard,Vorarlberg + 8 more",67 years old,501-1k Employees (India),(221 Reviews),4.1
2062,Air India Air Tr...,"Delhi/NCR,New Delhi + 38 more",19 years old,10k-50k Employees (Global),,(221 Reviews),3.7
2063,Tetra Pak,Private,Pully + 11 more,35 years old,1k-5k Employees (India),(221 Reviews),4.1
2064,ByteDance,Private,"Shanghai,Shanghai + 12 more",10 years old,1k-5k Employees (India),(221 Reviews),4.5
2065,GGS Information ...,Private,"York,Pennsylvania + 7 more",34 years old,501-1k Employees (India),(221 Reviews),3.5
2066,Markets and Mark...,Private,"Pune,Maharashtra + 2 more",12 years old,501-1k Employees (India),(221 Reviews),3.3
2067,Venkateshwara Ha...,Private,"Pune,Maharashtra + 28 more",51 years old,1k-5k Employees (Global),(221 Reviews),3.8
2068,VDA Infosolution...,Private,"Mumbai,Maharashtra + 20 more",12 years old,201-500 Employees (India),(221 Reviews),3.8
2069,AIG,New York + 9 more,13 years old,10k-50k Employees (India),,(1.6k Reviews),4.1
2070,Tata Capital,"Mumbai,Maharashtra + 53 more",15 years old,5k-10k Employees (India),,(1.3k Reviews),4.3
2071,Torry Harris Bus...,Private,Perth Amboy + 3 more,24 years old,501-1k Employees (India),(220 Reviews),3.9
2072,Deenanath Manges...,Private,"Pune,Maharashtra + 7 more",21 years old,11-50 Employees (India),(220 Reviews),4.3
2073,PC Solutions,Private,"Delhi/NCR,Delhi + 12 more",34 years old,501-1k Employees (India),(220 Reviews),3.7
2074,Wipro GE Health ...,Chicago + 29 more,130 years old,201-500 Employees (India),,(220 Reviews),4.1
2075,Xdbs,Private,"Redwood City,San Francisco + 2 more",10 years old,1k-5k Employees (India),(220 Reviews),3.4
2076,Cadbury,Private,London + 53 more,198 years old,1k-5k Employees (India),(220 Reviews),4.5
2077,Dainik Jagran,Public,"Noida,Uttar Pradesh + 50 more",80 years old,201-500 Employees (India),(220 Reviews),4
2078,Methodex,Private,"Delhi/NCR,Delhi + 41 more",62 years old,1k-5k Employees (India),(220 Reviews),3.5
2079,FOCUS EDUMATICS,Private,"Bangalore/Bengaluru,Karnataka + 5 more",23 years old,501-1k Employees (India),(220 Reviews),3.7
2080,Ventura Securiti...,Public,Thane + 36 more,28 years old,1k-5k Employees (India),(220 Reviews),3.9
2081,FCm Travel Solut...,Private,Brisbane + 22 more,36 years old,1k-5k Employees (India),(220 Reviews),3.8
2082,Shriram Group,Private,"Chennai,Tamil Nadu + 97 more",48 years old,50k-1 Lakh Employees (India),(7.4k Reviews),4.2
2083,Hanon Systems,Private,Daejeon + 9 more,36 years old,501-1k Employees (India),(219 Reviews),4
2084,Sterling,Private,Mumbai + 29 more,55 years old,201-500 Employees (Global),(219 Reviews),4
2085,Aker Solutions,Private,"Fornebu,Akershus + 4 more",181 years old,1k-5k Employees (India),(219 Reviews),3.9
2086,Yusen Logistics,Private,Tokyo + 24 more,67 years old,501-1k Employees (India),(219 Reviews),4.1
2087,Dusters Total So...,Private,"Bangalore/Bengaluru,Karnataka + 34 more",28 years old,501-1k Employees (India),(219 Reviews),3.9
2088,Sheenlac Paints,Public,"Chennai,Tamil Nadu + 31 more",60 years old,501-1k Employees (India),(219 Reviews),3.6
2089,Mitsuba Sical,Public,Michigan + 12 more,25 years old,201-500 Employees (India),(219 Reviews),3.7
2090,Tata Marcopolo M...,Public,"Pune,Maharashtra + 10 more",77 years old,1k-5k Employees (Global),(219 Reviews),3.7
2091,Sheela Foam,Public,"Delhi/NCR,Delhi + 52 more",51 years old,1k-5k Employees (India),(219 Reviews),4.3
2092,Tractebel,Private,"Chakkarpur,Haryana + 36 more",29 years old,501-1k Employees (India),(219 Reviews),4.1
2093,Insolutions Glob...,Private,Mumbai + 14 more,34 years old,1k-5k Employees (India),(219 Reviews),3.8
2094,M3M India,Private,"Gurgaon,Haryana + 3 more",37 years old,201-500 Employees (India),(219 Reviews),3.6
2095,Flowserve,Private,"Irving,Texas + 10 more",25 years old,1k-5k Employees (India),(219 Reviews),4.2
2096,Yum!,Private,"Colonel Sanders Lane,Louisville + 24 more",25 years old,501-1k Employees (India),(1.7k Reviews),4.2
2097,Fluper,Public,"Noida,Uttar Pradesh + 2 more",9 years old,201-500 Employees (India),(218 Reviews),3.8
2098,Keysight Technol...,Private,"Santa Rosa,California + 7 more",8 years old,1k-5k Employees (India),(218 Reviews),4.1
2099,IDP Education,Private,"Melbourne,Victoria + 34 more",53 years old,1k-5k Employees (India),(218 Reviews),4
2100,Cyfuture,Noida + 21 more,21 years old,501-1k Employees (India),,(218 Reviews),3.8
2101,Groupon,Private,"Chicago,Illinois + 7 more",7 years old,1k-5k Employees (India),(218 Reviews),3.7
2102,Blackrock,Private,"New York City,New York + 8 more",18 years old,1k-5k Employees (India),(218 Reviews),4
2103,Suroj Buildcon,Private,"Pune,Maharashtra + 21 more",9 years old,501-1k Employees (India),(218 Reviews),4.1
2104,OnProcess Techno...,Private,"Ashland,Massachusetts",24 years old,201-500 Employees (India),(218 Reviews),3.8
2105,Unitech,Public,"Gurgaon/Gurugram,Haryana + 19 more",51 years old,1k-5k Employees (India),(218 Reviews),4.2
2106,R.S. Infraprojec...,"Noida,Uttar Pradesh + 26 more",17 years old,501-1k Employees (India),,(217 Reviews),4.1
2107,Hindustan Times,Private,"Delhi/NCR,Delhi + 37 more",98 years old,5k-10k Employees (Global),(217 Reviews),3.6
2108,Pranav Vikas Ind...,"Delhi/NCR,Delhi + 6 more",35 years old,201-500 Employees (India),,(217 Reviews),3.7
2109,RR kabel,"Mumbai,Maharashtra + 40 more",27 years old,501-1k Employees (India),,(217 Reviews),4.3
2110,Gammon Engineers...,Mumbai + 31 more,100 years old,201-500 Employees (India),,(217 Reviews),4
2111,Mrs Bector's Foo...,Public,Gurgaon + 34 more,44 years old,1k-5k Employees (India),(217 Reviews),4.2
2112,Country Inns & S...,Private,"Minnetonka,Minnesota + 23 more",37 years old,501-1k Employees (Global),(217 Reviews),4
2113,Kolte Patil Deve...,Public,"Pune,Maharashtra + 5 more",31 years old,1k-5k Employees (India),(217 Reviews),4.1
2114,MetroTelworks,Private,Ahmedabad + 28 more,18 years old,51-200 Employees (India),(217 Reviews),3.9
2115,ReGen Powertech,Private,"Chennai,Tamil Nadu + 17 more",16 years old,501-1k Employees (India),(217 Reviews),3.8
2116,Transrail Lighti...,Private,"Mumbai,Maharashtra + 33 more",14 years old,501-1k Employees (India),(217 Reviews),3.8
2117,Techno Electric ...,Public,"Kolkata,West Bengal + 36 more",59 years old,201-500 Employees (India),(216 Reviews),4
2118,MSD Pharmaceutic...,Private,"Gurgaon/Gurugram,Haryana + 38 more",57 years old,1k-5k Employees (India),(216 Reviews),3.8
2119,India Nippon Ele...,Public,"Hosur,Tamil Nadu + 15 more",38 years old,501-1k Employees (India),(216 Reviews),4.2
2120,Linkquest Teleco...,Private,"Noida,Uttar Pradesh + 34 more",26 years old,501-1k Employees (India),(216 Reviews),3.3
2121,Texmaco Rail and...,Private,"Kolkata,West Bengal + 23 more",24 years old,1k-5k Employees (India),(216 Reviews),3.9
2122,Easyday Club,"Mumbai,Maharashtra + 63 more",14 years old,1k-5k Employees (Global),,(216 Reviews),4.4
2123,Liberty General ...,Private,"Mumbai,Maharashtra + 54 more",12 years old,1k-5k Employees (India),(216 Reviews),4.1
2124,HomeLane,Private,"Bangalore,Karnataka + 17 more",8 years old,501-1k Employees (India),(216 Reviews),3.8
2125,Prem Motors,Private,"Gurgaon/Gurugram,Haryana + 11 more",32 years old,201-500 Employees (India),(216 Reviews),3.8
2126,Win Medicare,Private,"Delhi/NCR,Delhi + 39 more",17 years old,501-1k Employees (India),(216 Reviews),4.1
2127,SUEZ Environneme...,Private,"Paris,Ile De France + 27 more",25 years old,1k-5k Employees (India),(396 Reviews),4.1
2128,Ciel HR,Private,"Bangalore,Karnataka + 42 more",9 years old,51-200 Employees (India),(215 Reviews),4.1
2129,Cvent,Private,"Fairfax,Virginia + 1 more",23 years old,1k-5k Employees (India),(215 Reviews),3.6
2130,Allcargo Logisti...,Public,"Mumbai,Maharashtra + 30 more",29 years old,1k-5k Employees (India),(215 Reviews),4.1
2131,TI Cycles of Ind...,Public,"Chennai,Tamil Nadu + 23 more",73 years old,1k-5k Employees (India),(215 Reviews),4.3
2132,Navin Fluorine I...,Public,"Mumbai,Maharashtra + 7 more",55 years old,501-1k Employees (India),(215 Reviews),4
2133,Eisai Pharmaceut...,Public,"Tokyo,Tokyo-to + 11 more",18 years old,201-500 Employees (India),(215 Reviews),4.4
2134,Nature's Basket,Private,"Mumbai,Maharashtra + 8 more",17 years old,501-1k Employees (India),(215 Reviews),3.9
